Index,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
1,TXN-1001,2026-01-05,Electronics,Wireless Mouse,3,19.99,59.97,North America,Credit Card
2,TXN-1002,2026-01-05,Kitchen,Coffee Mug,2,12.5,25.0,North America,PayPal
3,TXN-1003,2026-01-06,Electronics,USB-C Cable,5,9.99,49.95,Europe,Credit Card
4,TXN-1004,2026-01-06,Stationery,Notebook,10,3.25,32.5,North America,Debit Card
5,TXN-1005,2026-01-07,Home Office,Desk Lamp,1,34.0,34.0,Asia,Cash
6,TXN-1006,2026-01-08,Electronics,Bluetooth Speaker,2,49.99,99.98,North America,PayPal
7,TXN-1007,2026-01-08,Sports,Water Bottle,4,15.0,60.0,Europe,Debit Card
8,TXN-1008,2026-01-09,Accessories,Backpack,1,45.5,45.5,North America,Credit Card
9,TXN-1009,2026-01-10,Electronics,Keyboard,2,29.99,59.98,Asia,Credit Card
10,TXN-1010,2026-01-10,Stationery,Pens (Pack of 12),3,6.75,20.25,Europe,Cash
11,TXN-1011,2026-01-11,Home Office,Desk Chair,1,149.0,149.0,North America,PayPal
12,TXN-1012,2026-01-12,Accessories,Smartphone Case,6,12.99,77.94,Asia,Debit Card
13,TXN-1013,2026-01-12,Electronics,Monitor,1,199.0,199.0,North America,Credit Card
14,TXN-1014,2026-01-13,Fitness,Yoga Mat,2,22.0,44.0,Europe,Cash
15,TXN-1015,2026-01-14,Grocery,Coffee Beans,4,8.5,34.0,North America,PayPal
